time,stapm_value,ppt_limit_fast,ppt_value_fast,ppt_limit_slow,ppt_value_slow,ppt_value_apu
22/02/2025 16:05:59,"2,464",20,"2,701",20,"2,189","2,19"
22/02/2025 16:06:00,"2,463",20,"3,78",20,"2,213","2,214"
22/02/2025 16:06:01,"2,462",20,"1,808",20,"2,185","2,186"
22/02/2025 16:06:02,"2,461",20,"3,235",20,"2,167","2,168"
22/02/2025 16:06:03,"2,459",20,"1,989",20,"2,14","2,14"
22/02/2025 16:06:04,"2,458",20,"1,884",20,"2,118","2,119"
22/02/2025 16:06:05,"2,457",20,"1,783",20,"2,092","2,093"
22/02/2025 16:06:06,"2,456",20,"1,826",20,"2,089","2,09"
22/02/2025 16:06:08,"2,456",20,"2,359",20,"2,084","2,085"
22/02/2025 16:06:09,"2,455",20,"1,774",20,"2,046","2,047"
22/02/2025 16:06:10,"2,454",20,"1,776",20,"2,038","2,039"
22/02/2025 16:06:11,"2,453",20,"2,207",20,"2,024","2,025"
22/02/2025 16:06:12,"2,453",20,"2,347",20,"2,013","2,014"
22/02/2025 16:06:13,"2,452",20,"2,025",20,"1,997","1,998"
22/02/2025 16:06:14,"2,451",20,"2,177",20,"1,983","1,985"
22/02/2025 16:06:15,"2,451",20,"3,692",20,"2,019","2,02"
22/02/2025 16:06:16,"2,45",20,"3,753",20,"2,073","2,074"
22/02/2025 16:06:17,"2,45",20,"2,313",20,"2,132","2,132"
22/02/2025 16:06:18,"2,45",20,"2,631",20,"2,176","2,177"
22/02/2025 16:06:19,"2,449",20,"2,696",20,"2,185","2,186"
22/02/2025 16:06:20,"2,721",20,"2,004",20,"2,444","2,444"
22/02/2025 16:06:21,"2,448",20,"2,341",20,"2,18","2,181"
22/02/2025 16:06:22,"2,447",20,"1,798",20,"2,138","2,138"
22/02/2025 16:06:23,"2,446",20,"3,609",20,"2,091","2,092"
22/02/2025 16:06:24,"2,445",20,"2,241",20,"2,084","2,084"
22/02/2025 16:06:25,"2,443",20,"1,77",20,"2,046","2,046"
22/02/2025 16:06:26,"2,442",20,"1,902",20,"2,029","2,029"
22/02/2025 16:06:27,"2,441",20,"1,986",20,"1,999","1,999"
22/02/2025 16:06:28,"2,44",20,"2,3",20,"1,968","1,969"
22/02/2025 16:06:29,"2,439",20,"2,138",20,"1,962","1,963"
22/02/2025 16:06:30,"2,438",20,"2,235",20,"1,951","1,951"
22/02/2025 16:06:51,"2,642",20,"5,079",20,"7,222","7,222"
22/02/2025 16:06:52,"2,641",20,"2,45",20,"7,091","7,092"
22/02/2025 16:06:53,"2,641",20,"2,216",20,"7,015","7,017"
22/02/2025 16:06:54,"2,641",20,"2,209",20,"6,941","6,945"
22/02/2025 16:06:55,"2,641",20,"2,019",20,"6,818","6,822"
22/02/2025 16:06:56,"2,64",20,"1,915",20,"6,72","6,725"
22/02/2025 16:06:57,"2,64",20,"1,867",20,"6,558","6,563"
22/02/2025 16:06:58,"2,64",20,"2,162",20,"6,475","6,481"
22/02/2025 16:06:59,"2,64",20,"1,759",20,"6,393","6,4"
22/02/2025 16:07:00,"2,639",20,"1,772",20,"6,23","6,238"
22/02/2025 16:07:01,"2,639",20,"1,808",20,"6,141","6,15"
22/02/2025 16:07:02,"2,638",20,"1,761",20,"6,07","6,079"
22/02/2025 16:07:03,"2,638",20,"1,98",20,"6,007","6,017"
22/02/2025 16:07:04,"2,638",20,"2,034",20,"5,943","5,953"
22/02/2025 16:07:05,"2,637",20,"1,987",20,"5,839","5,85"
22/02/2025 16:07:06,"2,637",20,"2,235",20,"5,763","5,775"
22/02/2025 16:07:07,"2,637",20,"2,031",20,"5,706","5,719"
22/02/2025 16:07:08,"2,637",20,"1,985",20,"5,632","5,645"
22/02/2025 16:07:09,"2,636",20,"2,322",20,"5,571","5,584"
22/02/2025 16:07:10,"2,636",20,"1,768",20,"5,454","5,468"
22/02/2025 16:07:11,"2,636",20,"1,773",20,"5,393","5,407"
22/02/2025 16:07:13,"2,635",20,"1,77",20,"5,335","5,349"
22/02/2025 16:07:14,"2,635",20,"1,987",20,"5,285","5,3"
22/02/2025 16:07:15,"2,635",20,"2,009",20,"5,202","5,217"
22/02/2025 16:07:16,"2,634",20,"1,727",20,"5,128","5,144"
22/02/2025 16:07:17,"2,634",20,"1,726",20,"5,07","5,087"
22/02/2025 16:07:18,"2,634",20,"1,997",20,"5,02","5,037"
22/02/2025 16:07:19,"2,631",20,"1,768",20,"4,505","4,519"
22/02/2025 16:07:20,"2,63",20,"1,717",20,"4,194","4,207"
22/02/2025 16:07:21,"2,629",20,"1,985",20,"4,083","4,096"
22/02/2025 16:07:22,"2,628",20,"2,151",20,"3,975","3,987"
22/02/2025 16:07:23,"2,627",20,"1,955",20,"3,811","3,823"
22/02/2025 16:07:24,"2,626",20,"2,338",20,"3,629","3,639"
22/02/2025 16:07:25,"2,625",20,"1,805",20,"3,499","3,509"
22/02/2025 16:07:26,"2,624",20,"1,735",20,"3,458","3,468"
22/02/2025 16:07:27,"2,624",20,"1,964",20,"3,41","3,421"
22/02/2025 16:07:28,"2,623",20,"1,791",20,"3,356","3,366"
22/02/2025 16:07:29,"2,623",20,"1,777",20,"3,311","3,322"
22/02/2025 16:07:30,"2,622",20,"1,966",20,"3,218","3,228"
22/02/2025 16:07:31,"2,621",20,"1,76",20,"3,139","3,148"
22/02/2025 16:07:32,"2,621",20,"2,28",20,"3,126","3,135"
22/02/2025 16:07:33,"2,621",20,"1,753",20,"3,091","3,1"
